"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3416","Product landing page loads correctly (example #2)","Product landing pages","2026-08-11","passed","2026-08-11","","","",""
"","1221","Pricing sub-page loads correctly (example #3)","Pricing pages","2026-08-11","passed","2026-08-11","","","",""
"","2977","Retired URL returns 404 rather than a soft redirect (example #1)","Error handling for unknown and retired URLs","2026-08-11","passed","2026-08-11","","","",""
"","2272","Mobile header opens the collapsed menu","Header navigation across viewports","2026-08-11","passed","2026-08-11","","","",""
"","3224","Pricing sub-page loads correctly (example #1)","Pricing pages","2026-08-11","passed","2026-08-11","","","",""
"","6091","Product landing page loads correctly (example #3)","Product landing pages","2026-08-11","passed","2026-08-11","","","",""
"","5256","Pricing sub-page loads correctly (example #5)","Pricing pages","2026-08-11","passed","2026-08-11","","","",""
"","1591","Homepage exposes correct SEO metadata","Homepage structure and metadata","2026-08-11","passed","2026-08-11","","","",""
"","2492","Pricing hub exposes an interactive category filter","Pricing pages","2026-08-11","passed","2026-08-11","","","",""
"","3209","Desktop header shows all primary menu triggers","Header navigation across viewports","2026-08-11","passed","2026-08-11","","","",""
"","2676","External links are marked target blank with a safe rel","Footer links","2026-08-11","passed","2026-08-11","","","",""
"","7357","Accepting all cookies dismisses the consent banner","Cookie consent banner","2026-08-11","passed","2026-08-11","","","",""
"","1688","Unknown URL shows the branded 404 page","Error handling for unknown and retired URLs","2026-08-11","passed","2026-08-11","","","",""
"","6615","Consent banner stays dismissed on the next page","Cookie consent banner","2026-08-11","passed","2026-08-11","","","",""
"","1907","Opening the Products menu marks the trigger as expanded","Header navigation across viewports","2026-08-11","passed","2026-08-11","","","",""
"","8094","Pricing sub-page loads correctly (example #2)","Pricing pages","2026-08-11","passed","2026-08-11","","","",""
"","3315","Footer exposes the expected legal links","Footer links","2026-08-11","passed","2026-08-11","","","",""
"","3510","Homepage exposes the primary page landmarks","Homepage structure and metadata","2026-08-11","passed","2026-08-11","","","",""
"","3955","Product landing page loads correctly (example #1)","Product landing pages","2026-08-11","passed","2026-08-11","","","",""
"","5534","Cookie Policy link opens the cookie policy page","Footer links","2026-08-11","passed","2026-08-11","","","",""
"","3202","Product landing page loads correctly (example #4)","Product landing pages","2026-08-11","passed","2026-08-11","","","",""
"","2548","Retired URL returns 404 rather than a soft redirect (example #2)","Error handling for unknown and retired URLs","2026-08-11","passed","2026-08-11","","","",""
"","1025","Pricing sub-page loads correctly (example #4)","Pricing pages","2026-08-11","passed","2026-08-11","","","",""
